"","feature","chi2","p","n_target","n_reference","num"
"1","门徒",141.22792675454,0,33,1,1
"2","姑娘",119.179480278345,0,34,6,2
"3","百灵鸟",115.269005896876,0,27,0,3
"4","味",86.4691801509301,0,46,32,4
"5","使",85.0461425464493,0,55,48,5
"6","小姑",79.5344190791734,0,19,0,6
"7","众",76.4829397885444,0,24,6,7
"8","课",73.4735785562331,0,26,9,8
"9","学艺",71.4304225371466,0,42,33,9
"10","线",70.894410182637,0,43,35,10
"11","同",65.9201845066361,4.44089209850063e-16,55,61,11
"12","这",60.2625457076598,8.32667268468867e-15,282,738,12
"13","哪",59.493947404151,1.22124532708767e-14,27,15,13
"14","遂",57.0387300706887,4.27435864480685e-14,29,19,14
"15","三",45.2556302547532,1.72922787200491e-11,54,78,15
"16","师傅",44.1521851721045,3.03812530688674e-11,114,244,16
"17","便",43.9610710414035,3.34972050097804e-11,67,112,17
"18","形像",43.8419324894639,3.55995233292106e-11,11,0,18
"19","当然",42.9898479924231,5.50246515018671e-11,34,36,19
"20","作",41.8449602013476,9.8805075232633e-11,25,20,20
"21","跟",78.2322419393357,0,41,45,1
"22","师傅",61.3571332093047,4.77395900588817e-15,103,255,2
"23","但是",61.2605303458384,4.9960036108132e-15,73,151,3
"24","线",54.6472013799944,1.44217970898808e-13,34,44,4
"25","来讲",53.154016109188,3.08419956240868e-13,10,0,5
"26","居然",47.8315460461238,4.64461802351934e-12,15,7,6
"27","愈发",46.433174895323,9.4796392957619e-12,16,9,7
"28","味",41.2384941678537,1.34742661472842e-10,31,47,8
"29","侍奉",37.0046946479345,1.17845166958119e-09,14,9,9
"30","依然",36.4267286200368,1.58514457115899e-09,20,23,10
"31","古琴",32.4652529280194,1.21342814685121e-08,13,9,11
"32","之前",31.5866217853089,1.9073910451084e-08,23,34,12
"33","传授",26.5348664799082,2.58824314869344e-07,10,6,13
"34","琴师",25.3052049476175,4.89386374535883e-07,16,21,14
"35","就算",24.2149601605878,8.61604110502512e-07,13,13,15
"36","特意",23.6003903355168,1.18563463014087e-06,6,1,16
"37","伤口",23.3849527613922,1.32611817771355e-06,5,0,17
"38","也许",23.0780678032686,1.55554996505991e-06,26,52,18
"39","便",22.9193251950642,1.68944763756507e-06,48,131,19
"40","三",22.6390595133833,1.95470081154614e-06,38,94,20
"41","时候",51.6763439846632,6.5447647301653e-13,110,234,1
"42","的",44.4342113942213,2.63049582116537e-11,1609,6412,2
"43","阿",37.4937627479525,9.1705776306128e-10,13,4,3
"44","阿照",37.3696270556313,9.773236664401e-10,9,0,4
"45","师父",36.8878649327037,1.25122301408709e-09,85,187,5
"46","鸟儿",34.8533837057188,3.55491203141156e-09,20,17,6
"47","和",33.4629606201211,7.2634137593397e-09,108,270,7
"48","愿",31.595318385133,1.89886816270857e-08,19,17,8
"49","墓",30.9739179723596,2.61519291777645e-08,35,53,9
"50","本来",30.1152880692054,4.07109155275975e-08,18,16,10
"51","训练",28.8790873352547,7.70402196481612e-08,15,10,11
"52","老师",28.4238763594371,9.74559465349856e-08,18,17,12
"53","可是",27.0535833002013,1.97893050835063e-07,21,24,13
"54","但",25.8183092980461,3.75113192840892e-07,95,248,14
"55","可能",25.7862227104105,3.81401284110794e-07,40,73,15
"56","以前",25.5783519379371,4.24778371033163e-07,20,23,16
"57","不但",24.9586734738159,5.85724323487469e-07,10,4,17
"58","没有",24.5831320488774,7.11720172019703e-07,107,294,18
